ID;Implementing Partner;Lead Office;Type of Project;Project Title;Province_CODE;Municipality_CODE;Barangay;Status;Beneficiaries;Beneficiary_type
1328;ECHO, German Red Cross;DMS;Disaster Risk Reduction;Building Urban Resilience in Southeast Asia;1374;137404;Batasan Hills;Completed;8494;individuals
1329;ECHO, Spanish Red Cross;DMS;Disaster Risk Reduction;Building Urban Resilience in Southeast Asia;1374;137404;Tatalon;Completed;;individuals
1330;IFRC;DMS;Disaster Preparedness;Capacity Building Support through RCAT Framework (RCAT II);1374;137404;;Ongoing;;chapter
1331;Norwegian Red Cross;DMS;Disaster Risk Reduction;VCA Digitalization Project;1374;137404;;Ongoing;;chapter
1332;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1432;143211;Liwan East;Completed;465;families
1333;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1432;143211;Liwan West;Completed;;families
1334;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1432;143211;San Quintin;Completed;;families
1335;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1432;143211;San Vicente;Completed;;families
1336;IFRC;DMS;Disaster Preparedness;Capacity Building Support through RCAT Framework (RCAT II);1759;175910;;Ongoing;;chapter
1337;Australian Red Cross;WASH;WASH and DRR;Building Healthy and Resilient Schools;133;13313;Paraspas;Ongoing;145;individuals
1338;IFRC;DMS;Disaster Preparedness;RCAT in 12 Chapters;619;61914;PRC Capiz Chapter;Completed;;chapter
1339;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Cabugao;Ongoing;234;individuals
1340;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Bago;Ongoing;1852;individuals
1341;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Bago;Ongoing;158;individuals
1342;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Balijuagan;Ongoing;1674;individuals
1343;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Balijuagan;Ongoing;277;individuals
1344;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Balijuagan;Ongoing;480;individuals
1345;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Cabugao;Ongoing;2311;individuals
1346;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Culajao;Ongoing;1876;individuals
1347;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Dinginan;Ongoing;6531;individuals
1348;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Sibaguan;Ongoing;388;individuals
1349;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Bago;Ongoing;178;individuals
1350;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Liong;Ongoing;250;individuals
1351;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;San Jose;Ongoing;159;individuals
1352;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Jumaguicjic;Ongoing;1157;individuals
1353;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Liong;Ongoing;1459;individuals
1354;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Dinginan;Ongoing;299;individuals
1355;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Culajao;Ongoing;296;individuals
1356;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;San Jose;Ongoing;1772;individuals
1357;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Sibaguan;Ongoing;3216;individuals
1358;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Jumaguicjic;Ongoing;298;individuals
1359;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Talon;Ongoing;2033;individuals
1360;German Federal Foreign Office, German Red Cross;DMS;Disaster Risk Reduction;Strengthening Disaster Risk Reduction Capacities and Mechanisms in the province of Capiz Philippines;619;61914;Talon;Ongoing;233;individuals
1361;Norwegian Red Cross;DMS;Disaster Risk Reduction;VCA Digitalization Project;619;61914;;Ongoing;;chapter
1362;Philip Morris and Fortune Tobacco Corporation;DMS;Disaster Risk Reduction;Workplace DRRM Project;619;61914;Inzo Arnaldo;Ongoing;;individuals
1363;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1444;144407;Bun-Ayan;Completed;;families
1364;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1444;144407;Losad;Completed;10;families
1365;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1444;144407;Napua;Completed;;families
1366;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1444;144407;Poblacion;Completed;;families
1367;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1444;144407;Supang;Completed;;families
1368;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;1411;141112;Banangan;Completed;;community
1369;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;1411;141112;Bayabas;Completed;;community
1370;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;1411;141112;Bayabas;Completed;;school
1371;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;1411;141112;Kamog;Completed;;community
1372;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;1411;141112;Kamog;Completed;;school
1373;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;1411;141112;Banangan;Completed;;school
1374;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;1411;141112;Poblacion;Completed;;school
1375;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;1411;141112;Pappa;Completed;;community
1376;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;1411;141112;Pappa;Completed;;school
1377;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;1411;141112;Poblacion;Completed;;community
1378;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;1411;141112;Poblacion;Completed;;school
1379;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;1411;141112;Poblacion;Completed;;school
1380;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1444;144408;Anabel;Completed;15;families
1381;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1444;144408;Poblacion;Completed;;families
1382;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1444;144408;Sacasacan;Completed;;families
1383;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1444;144409;Balugan;Completed;24;families
1384;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1444;144409;Bangaan;Completed;;families
1385;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1444;144409;Fidelisan;Completed;;families
1386;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1444;144409;Madongo;Completed;;families
1387;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1444;144409;Patay;Completed;;families
1388;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1444;144409;Poblacion;Completed;;families
1389;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1444;144409;Taccong;Completed;;families
1390;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1444;144409;Tanulong;Completed;;families
1391;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1444;144409;Balungan;Completed;;families
1392;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;517;51731;Santo Ni¤o;Completed;;families
1393;ICRC, German Red Cross, Qatar Red Crescent Society, Spanish Red Cross, Local Donors;DMS;Disaster Response;Marawi Crisis Operations: Extended Response - Early Recovery;1536;153625;;Ongoing;;families
1394;ICRC;DMS;Disaster Recovery;Marawi Early Recovery;1536;153625;Poblacion;Ongoing;163;families
1395;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1401;140120;Ud-Udiao;Completed;116;families
1396;Norwegian Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction in Manila;1339;133906;599;Ongoing;;community
1397;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;520;52008;Cabcab;Completed;;families
1398;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;520;52008;Cabcab;Completed;;families
1399;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;520;52008;Codon;Completed;;families
1400;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;520;52008;Lictin;Completed;;families
1401;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;520;52008;Manambrag;Completed;;families
1402;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;520;52008;Mayngaway;Completed;;families
1403;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;520;52008;Divino Rosto (Pob.);Completed;;families
1404;German Red Cross;DMS;Disaster Risk Reduction;Empowering the Philippine Red Cross communities and government insitutions to consolidate and implement inclusive CBDRR in five provinces;371;37110;Maloma;Ongoing;;school
1405;German Red Cross;DMS;Disaster Risk Reduction;Empowering the Philippine Red Cross communities and government insitutions to consolidate and implement inclusive CBDRR in five provinces;371;37110;Maloma;Ongoing;;school
1406;German Red Cross;DMS;Disaster Risk Reduction;Empowering the Philippine Red Cross communities and government insitutions to consolidate and implement inclusive CBDRR in five provinces;371;37110;Sindol;Ongoing;;school
1407;German Red Cross;DMS;Disaster Risk Reduction;Empowering the Philippine Red Cross communities and government insitutions to consolidate and implement inclusive CBDRR in five provinces;371;37110;Apostol;Ongoing;;school
1408;German Red Cross;DMS;Disaster Risk Reduction;Empowering the Philippine Red Cross communities and government insitutions to consolidate and implement inclusive CBDRR in five provinces;371;37110;Rosete;Ongoing;;school
1409;German Red Cross;DMS;Disaster Risk Reduction;Empowering the Philippine Red Cross communities and government insitutions to consolidate and implement inclusive CBDRR in five provinces;371;37110;Sto. Ni¤o;Ongoing;;school
1410;Europe Aid and Spanish Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;517;51732;BICAL;Completed;;community
1411;Europe Aid and Spanish Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;517;51732;COTMO;Completed;;community
1412;Europe Aid and Spanish Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;517;51732;GNARAN;Completed;;community
1413;Europe Aid and Spanish Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;517;51732;MARAGNI;Completed;;community
1414;Europe Aid and Spanish Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;517;51732;PINAMASAGAN;Completed;;community
1415;Spanish Red Cross;Health;Health and DRR;Healthy and Safe Living (CBHDRR);517;51732;Bical ;Completed;;community
1416;Spanish Red Cross;Health;Health and DRR;Healthy and Safe Living (CBHDRR);517;51732;Cotmo;Completed;;community
1417;Spanish Red Cross;Health;Health and DRR;Healthy and Safe Living (CBHDRR);517;51732;Gnaran;Completed;;community
1418;Spanish Red Cross;Health;Health and DRR;Healthy and Safe Living (CBHDRR);517;51732;Marangi;Completed;;community
1419;Spanish Red Cross;Health;Health and DRR;Healthy and Safe Living (CBHDRR);517;51732;Pinamasagan;Completed;;community
1420;Spanish Red Cross;Health;Health and DRR;Healthy and Safe Living (CBHDRR);541;54118;Altavista;Completed;;community
1421;Spanish Red Cross;Health;Health and DRR;Healthy and Safe Living (CBHDRR);541;54118;Bayanihan;Completed;;community
1422;Spanish Red Cross;Health;Health and DRR;Healthy and Safe Living (CBHDRR);541;54118;Baybay Dagat;Completed;;community
1423;Spanish Red Cross;Health;Health and DRR;Healthy and Safe Living (CBHDRR);541;54118;Daplian;Completed;;community
1424;Spanish Red Cross;Health;Health and DRR;Healthy and Safe Living (CBHDRR);541;54118;Talisay;Completed;;community
1425;Qatar Red Crescent Society;DMS;Disaster Recovery;Surigao Earthquake Recovery Programme;1667;166719;Diaz;Completed;22;families
1426;Qatar Red Crescent Society;DMS;Disaster Recovery;Surigao Earthquake Recovery Programme;1667;166719;Poblacion;Completed;31;families
1427;Qatar Red Crescent Society;DMS;Disaster Recovery;Surigao Earthquake Recovery Programme;1667;166719;Hondrado;Completed;21;families
1428;Qatar Red Crescent Society;DMS;Disaster Recovery;Surigao Earthquake Recovery Programme;1667;166719;Serna;Completed;3;families
1429;Qatar Red Crescent Society;DMS;Disaster Recovery;Surigao Earthquake Recovery Programme;1667;166719;San Roque;Completed;3;families
1430;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1401;140121;Dalimag;Completed;16;families
1431;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1401;140121;Langbaban;Completed;11;families
1432;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1401;140121;Manayday;Completed;17;families
1433;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1401;140121;Poblacion;Completed;2;families
1434;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1401;140121;San Marcial;Completed;4;families
1435;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1401;140121;Tangbao;Completed;9;families
1436;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;1401;140121;Cabayagan;Completed;13;families
1437;Australian Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83742;Banat-i;Completed;44;individuals
1438;Australian Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83742;Basud;Completed;44;individuals
1439;Australian Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83742;Biasong;Completed;;individuals
1440;Australian Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83742;Busay;Completed;44;individuals
1441;Australian Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83742;Capi¤ahan;Completed;44;individuals
1442;Australian Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83742;Hacienda Maria;Completed;44;individuals
1443;Australian Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83742;Linao;Completed;44;individuals
1444;Australian Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83742;San Jose;Completed;44;families
1445;Australian Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83742;Banat-i;Completed;;school
1446;Australian Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83742;Biasong;Completed;;school
1447;Europe Aid and German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;606;60613;BARIRI;Completed;11;individuals
1448;Europe Aid and German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;606;60613;BUGAROT;Completed;10;individuals
1449;Europe Aid and German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;606;60613;DUROG;Completed;16;individuals
1450;Europe Aid and German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;606;60613;INABASAN;Completed;11;individuals
1451;Europe Aid and German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;606;60613;SAN PEDRO;Completed;8;individuals
1452;IFRC;DMS;Disaster Preparedness;RCAT in 12 Chapters;606;60613;PRC Antique Chapter;Completed;;chapter
1453;Norwegian Red Cross;DMS;Disaster Risk Reduction;VCA Digitalization Project;606;60613;;Ongoing;;chapter
1454;IFRC;DMS;Disaster Response;Typhoon Karen Emergency Response Operations;377;;Decoliat;Completed;;families
1455;IFRC;DMS;Disaster Response;Typhoon Karen Emergency Response Operations;377;;Punglo;Completed;;families
1456;IFRC;DMS;Disaster Response;Typhoon Karen Emergency Response Operations;377;;San Juan;Completed;;families
1457;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;520;52009;Mabato;Completed;;families
1458;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;520;52009;Poblacion District II;Completed;;families
1459;IFRC;DMS;Disaster Recovery;Typhoon Lawin Early Recovery Assistance;231;23133;San Vicente;Completed;118;families
1460;IFRC;DMS;Disaster Recovery;Typhoon Lawin Early Recovery Assistance;231;23133;San Vicente;Completed;24;families
1461;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;231;23133;Annanuman;Completed;121;families
1462;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;231;23133;Auitan;Completed;;families
1463;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;231;23133;Ballacayu;Completed;;families
1464;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;231;23133;Binguang;Completed;;families
1465;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;231;23133;Bungad;Completed;;families
1466;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;231;23133;Calamagui;Completed;;families
1467;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;231;23133;Dalena;Completed;;families
1468;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;231;23133;Minanga Norte;Completed;;families
1469;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;231;23133;Minanga Sur;Completed;;families
1470;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;231;23133;San Jose;Completed;;families
1471;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;231;23133;San Vicente;Completed;;families
1472;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;541;54120;Iniwaran;Completed;;families
1473;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;1752;175213;Bigaan;Completed;;families
1474;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;1752;175213;Caagutayan;Completed;;families
1475;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;1752;175213;Calangatan;Completed;;families
1476;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;1752;175213;Calsapa;Completed;;families
1477;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;1752;175213;Ilag;Completed;;families
1478;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;1752;175213;Lumangbayan;Completed;;families
1479;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;1752;175213;Poblacion;Completed;;families
1480;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;1752;175213;Tacligan;Completed;;families
1481;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;129;12922;Bucalag;Completed;;community
1482;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;129;12922;Tabucolan;Completed;;school
1483;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;129;12922;Dammay;Completed;;community
1484;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;129;12922;Dammay;Completed;;school
1485;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;129;12922;Mabilbila;Completed;;school
1486;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;129;12922;Mabilbila;Completed;;school
1487;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;129;12922;Oribi;Completed;;community
1488;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;129;12922;Pasungol;Completed;;community
1489;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;129;12922;Marcos (Pob);Completed;;school
1490;German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Government Institutions to replicate and consolidate inclusive CBRR;129;12922;Tabucolan;Completed;;community
1491;Norwegian Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction in Manila;1339;133914;899;Ongoing;;community
1492;Europe Aid and German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;371;37113;CANAYNAYAN;Completed;10;individuals
1493;Europe Aid and German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;371;37113;GAMA;Completed;14;individuals
1494;Europe Aid and German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;371;37113;MALABAGO;Completed;11;individuals
1495;Europe Aid and German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;371;37113;PAMONORAN;Completed;14;individuals
1496;Europe Aid and German Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;371;37113;TABALONG;Completed;15;individuals
1497;Europe Aid and Spanish Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;516;51610;SAN LORENZO;Completed;;community
1498;Europe Aid and Spanish Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;516;51610;SALVACION;Completed;;community
1499;Europe Aid and Spanish Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;516;51610;PULONGGUIT-GUIT;Completed;;community
1500;Europe Aid and Spanish Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;516;51610;KAGTALABA;Completed;;community
1501;Europe Aid and Spanish Red Cross;DMS;Disaster Risk Reduction;Empowering Communities and Local Government Units in Implementing Inclusive Development Programs in the Philippines;516;51610;BASIAD;Completed;;community
1502;IFRC;DMS;Disaster Response;Typhoon Karen Emergency Response Operations;250;25012;Bacneng;Completed;;families
1503;IFRC;DMS;Disaster Response;Typhoon Karen Emergency Response Operations;250;25012;Balete;Completed;;families
1504;IFRC;DMS;Disaster Response;Typhoon Karen Emergency Response Operations;250;25012;Baliling;Completed;;families
1505;IFRC;DMS;Disaster Response;Typhoon Karen Emergency Response Operations;250;25012;Bantinan;Completed;;families
1506;IFRC;DMS;Disaster Response;Typhoon Karen Emergency Response Operations;250;25012;Baracbac;Completed;;families
1507;IFRC;DMS;Disaster Response;Typhoon Karen Emergency Response Operations;250;25012;Buyasyas;Completed;;families
1508;IFRC;DMS;Disaster Response;Typhoon Karen Emergency Response Operations;250;25012;Poblacion;Completed;;families
1509;IFRC;DMS;Disaster Response;Typhoon Karen Emergency Response Operations;250;25012;Tactac;Completed;;families
1510;IFRC;DMS;Disaster Response;Typhoon Karen Emergency Response Operations;250;25012;Villaflores;Completed;;families
